类型,日期,Day,城市,项目,分类,金额(CNY),备注
行程,2019-10-01,1,曼德勒,广州→曼谷 FD531 00:10-02:10,交通,,转机
行程,2019-10-01,1,曼德勒,曼谷→曼德勒 FD244 11:00-12:15,交通,,到达
行程,2019-10-01,1,曼德勒,固都陶佛塔 Kuthodaw Pagoda,景点,,世界上最大的书
行程,2019-10-01,1,曼德勒,曼德勒山 Mandalay Hill,景点,,俯瞰全城日落
行程,2019-10-01,1,曼德勒,绿象餐厅,餐饮,,
行程,2019-10-01,1,曼德勒,曼德勒蒲甘国王酒店 Bagan King Hotel,住宿,,
行程,2019-10-02,2,曼德勒,敏贡古城 Mingun,景点,,
行程,2019-10-02,2,曼德勒,敏贡佛塔 Mingun Paya,景点,,
行程,2019-10-02,2,曼德勒,敏贡大钟 Mingun Bell,景点,,世界最大铜钟
行程,2019-10-02,2,曼德勒,实皆古城 Sagaing,景点,,
行程,2019-10-02,2,曼德勒,提达固佛学院 Thidagu World Buddhist University,景点,,
行程,2019-10-02,2,曼德勒,实皆山 Sagaing Hill,景点,,
行程,2019-10-02,2,曼德勒,乌敏东色寺 U Min Thonze Pagoda,景点,,月牙形长廊45尊佛像
行程,2019-10-02,2,曼德勒,因瓦古城 Inwa,景点,,四个世纪古都
行程,2019-10-02,2,曼德勒,马哈昂美寺 Maha Aungmye Bonzan,景点,,
行程,2019-10-02,2,曼德勒,阿玛拉普拉古城 Amarapura,景点,,
行程,2019-10-02,2,曼德勒,乌本桥 U Bein Bridge,景点,,世界最长木桥/日落
行程,2019-10-02,2,曼德勒,曼德勒蒲甘国王酒店 Bagan King Hotel,住宿,,
行程,2019-10-03,3,曼德勒,马哈根达杨僧院 Mahar Gandar Yone Monastery,景点,,千人僧饭
行程,2019-10-03,3,曼德勒→蒲甘,曼德勒→蒲甘 7Y241 17:45-18:15,交通,,
行程,2019-10-03,3,蒲甘,蒲甘奥伦宫酒店 Aureum Palace Hotel,住宿,,
行程,2019-10-04,4,蒲甘,瑞喜宫塔 Shwezigon Pagoda,景点,,蒲甘最古老寺庙
行程,2019-10-04,4,蒲甘,娘乌 Nyaung U,景点,,蒲甘最大镇子
行程,2019-10-04,4,蒲甘,阿南达寺 Ananda Temple,景点,,蒲甘第一佛塔
行程,2019-10-04,4,蒲甘,瑞山陀塔 Shwesandaw Pagoda,景点,,观日落最佳位置
行程,2019-10-04,4,蒲甘,达玛扬基寺 Dhammayangyi Temple,景点,,蒲甘最雄伟佛塔
行程,2019-10-04,4,蒲甘,苏拉玛尼寺 Sulamani Temple,景点,,皇冠上的宝石/壁画
行程,2019-10-04,4,蒲甘,蒲甘奥伦宫酒店 Aureum Palace Hotel,住宿,,
行程,2019-10-05,5,蒲甘→茵莱湖,泰乌村 Thale Oo,景点,,小乌本桥
行程,2019-10-05,5,蒲甘→茵莱湖,蒲甘→茵莱湖,交通,,
行程,2019-10-06,6,茵莱湖,茵莱湖水上市场,景点,,五日集市
行程,2019-10-06,6,茵莱湖,良瑞皇家酒店 Royal Nyaung Shwe Hotel,住宿,,
行程,2019-10-07,7,茵莱湖→深圳,海霍→曼德勒 K7707 08:40-10:05,交通,,
行程,2019-10-07,7,茵莱湖→深圳,曼德勒→昆明 MU2030 15:40-18:50,交通,,
行程,2019-10-07,7,茵莱湖→深圳,昆明→深圳 MU5763 21:55-00:10,交通,,
开销,2019-10-01,1,曼德勒,广州→曼谷机票 (2人),交通,3344.00,FD531
开销,2019-10-01,1,曼德勒,蒲甘国王酒店 (3晚/2人),住宿,1346.52,Bagan King Hotel
开销,2019-10-04,4,蒲甘,蒲甘奥伦宫酒店 (2晚/2人),住宿,3308.78,Aureum Palace Hotel
开销,2019-10-06,6,茵莱湖,良瑞皇家酒店 (1晚),住宿,582.74,Royal Nyaung Shwe
开销,2019-10-07,7,茵莱湖,海霍→曼德勒 (2人),交通,1534.00,K7707
开销,2019-10-07,7,茵莱湖,曼德勒→昆明 (2人),交通,2800.00,MU2030
开销,2019-10-07,7,茵莱湖,昆明→深圳 (2人),交通,2800.00,MU5763
